Image,Latitude,Longitude,lables,,,
321a.jpg,17.562603,78.169552,VC-       -R02-PWL-54,,,
322a.jpg,17.562654,78.169411,VC-       -R02-PWL-55,,,
323a.jpg,17.562874,78.16907,VC-       -R02-PWL-56,,,
324a.jpg,17.562945,78.16887,VC-       -R02-PWL-57,,,
325a.jpg,17.562502,78.170147,,,,
326a.jpg,17.563441,78.167366,,,,
327a.jpg,17.563627,78.166698,VC-       -R27-PWL-01,,,
328a.jpg,17.563659,78.16659,VC-       -R27-PWL-02,,,
329a.jpg,17.563733,78.166343,VC-       -R27-PWL-03,,,
330a.jpg,17.563638,78.166139,VC-       -R27-PWL-04,,,
331a.jpg,17.563779,78.166072,VC-       -R27-PWL-05,,,
332a.jpg,17.563696,78.165996,VC-       -R27-CPT-06,,,
333a.jpg,17.563429,78.165923,VC-       -R27-PWL-07,,,
334a.jpg,17.563217,78.16585,VC-       -R27-PWL-08,,,
335a.jpg,17.563103,78.165551,VC-       -R27-PWL-09,,,
336a.jpg,17.562869,78.16553,VC-       -R27-PWL-10,,,
337a.jpg,17.562633,78.165546,VC-       -R27-PWL-11,,,
338a.jpg,17.563078,78.165213,VC-       -R27-PWL-12,,,
339a.jpg,17.563029,78.164886,VC-       -R05-PWL-01,,,
340a.jpg,17.563016,78.164655,VC-       -R05-CPL-02,,,
341a.jpg,17.562877,78.164759,VC-       -R05-PWL-03,,,
342a.jpg,17.56283,78.164924,VC-       -R05-PWL-04,,,
343a.jpg,17.562704,78.164738,VC-       -R05-PWL-05,,,
344a.jpg,17.562672,78.16498,VC-       -R05-PWL-06,,,
345a.jpg,17.562728,78.165247,VC-       -R05-PWL-07,,,
346a.jpg,17.563187,78.164755,VC-       -R05-PWL-08,,,
347a.jpg,17.56327,78.164636,VC-       -R05-PWL-09,,,
348a.jpg,17.563358,78.164356,VC-       -R05-PWL-10,,,
349a.jpg,17.56351,78.164013,VC-       -R05-PWL-11,,,
350a.jpg,17.563527,78.165026,VC-       -R05-PWL-12,,,
351a.jpg,17.56349,78.16464,VC-       -R05-PWL-13,,,
352a.jpg,17.563671,78.164657,VC-       -R05-PWL-14,,,
353a.jpg,17.56392,78.164757,VC-       -R05-PWL-15,,,
354a.jpg,17.56402,78.1644,VC-       -R05-PWL-16,,,
355a.jpg,17.563836,78.164322,VC-       -R05-PWL-17,,,
356a.jpg,17.563883,78.165046,VC-       -R05-PWL-18,,,
357a.jpg,17.56384,78.165388,VC-       -R05-PWL-19,,,
358a.jpg,17.563516,78.165283,VC-       -R05-PWL-20,,,
359a.jpg,17.563795,78.165918,VC-       -R05-PWL-21,,,
